209,-264.5,-29.5,-345
210,-323.5,29.5,-345
211,-264.5,29.5,-345
212,-323.5,-29.5,-287
213,-264.5,-29.5,-287
214,-323.5,29.5,-287
215,-264.5,29.5,-287
216,-323.5,-29.5,-229
217,-264.5,-29.5,-229
218,-323.5,29.5,-229
219,-264.5,29.5,-229
220,-323.5,-29.5,-171
221,-264.5,-29.5,-171
222,-323.5,29.5,-171
223,-264.5,29.5,-171
224,-323.5,-29.5,-113
225,-264.5,-29.5,-113
226,-323.5,29.5,-113
227,-264.5,29.5,-113
228,-323.5,-29.5,-55
229,-264.5,-29.5,-55
230,-323.5,29.5,-55
231,-264.5,29.5,-55
232,-323.5,-29.5,3
233,-264.5,-29.5,3
234,-323.5,29.5,3
235,-264.5,29.5,3
236,-323.5,-29.5,61
237,-264.5,-29.5,61
238,-323.5,29.5,61
239,-264.5,29.5,61
240,-323.5,-29.5,119
241,-264.5,-29.5,119
242,-323.5,29.5,119
243,-264.5,29.5,119
244,-323.5,-29.5,177
245,-264.5,-29.5,177
246,-323.5,29.5,177
247,-264.5,29.5,177
248,-323.5,-29.5,235
249,-264.5,-29.5,235
250,-323.5,29.5,235
251,-264.5,29.5,235
252,-323.5,-29.5,293
253,-264.5,-29.5,293
254,-323.5,29.5,293
255,-264.5,29.5,293
256,-323.5,-29.5,351
257,-264.5,-29.5,351
258,-323.5,29.5,351
259,-264.5,29.5,351
260,44.0,117.5,-345
261,103.0,117.5,-345
262,44.0,176.5,-345
263,103.0,176.5,-345
264,44.0,117.5,-287
265,103.0,117.5,-287
266,44.0,176.5,-287
267,103.0,176.5,-287
268,44.0,117.5,-229
269,103.0,117.5,-229
270,44.0,176.5,-229
271,103.0,176.5,-229
272,44.0,117.5,-171
273,103.0,117.5,-171
274,44.0,176.5,-171
275,103.0,176.5,-171
276,44.0,117.5,-113
277,103.0,117.5,-113
278,44.0,176.5,-113
279,103.0,176.5,-113
280,44.0,117.5,-55
281,103.0,117.5,-55
282,44.0,176.5,-55
283,103.0,176.5,-55
284,44.0,117.5,3
285,103.0,117.5,3
286,44.0,176.5,3
